#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             2009.09          1.6241e-13                       |         1.49218034e+15      2.18670826e-28                    
             2018.37          1.5762e-13                       |         1.48531963e+15      2.14186544e-28                    
             2027.68          1.6429e-13                       |         1.47849986e+15      2.25314562e-28                    
             2037.04          1.5618e-13                       |         1.47170629e+15      2.16174184e-28                    
             2046.45          1.6241e-13                       |         1.46493908e+15      2.26879020e-28                    
             2060.63          1.5192e-13                       |         1.45485827e+15      2.15176225e-28                    
             2070.14          1.5439e-13                       |         1.44817480e+15      2.20697746e-28                    
              2079.7          1.6773e-13                       |         1.44151781e+15      2.41986661e-28                    
              2089.3          1.7085e-13                       |         1.43489427e+15      2.48768786e-28                    
             2098.94          1.6166e-13                       |         1.42830409e+15      2.37564705e-28                    
             2108.63          1.6278e-13                       |         1.42174046e+15      2.41424367e-28                    
             2118.36          1.6543e-13                       |         1.41521016e+15      2.47624208e-28                    
             2128.14          1.6658e-13                       |         1.40870647e+15      2.51653250e-28                    
             2137.96          1.5618e-13                       |         1.40223605e+15      2.38124382e-28                    
             2147.83          1.6092e-13                       |         1.39579231e+15      2.47621943e-28                    
             2157.74          1.6696e-13                       |         1.38938176e+15      2.59292501e-28                    
              2167.7          1.6129e-13                       |         1.38299792e+15      2.52804670e-28                    
             2177.71          1.6055e-13                       |         1.37664087e+15      2.53974256e-28                    
             2187.76          1.5981e-13                       |         1.37031694e+15      2.55142380e-28                    
             2197.86          1.6658e-13                       |         1.36401981e+15      2.68412170e-28                    
             2208.01          1.6241e-13                       |         1.35774955e+15      2.64115649e-28                    
              2218.2          1.5332e-13                       |         1.35151230e+15      2.51639902e-28                    
             2228.44          1.5053e-13                       |         1.34530191e+15      2.49347058e-28                    
             2238.72          1.6166e-13                       |         1.33912441e+15      2.70259786e-28                    
             2249.05          1.5546e-13                       |         1.33297374e+15      2.62298725e-28                    
             2259.44           1.471e-13                       |         1.32684408e+15      2.50491847e-28                    
             2269.86          1.4983e-13                       |         1.32075308e+15      2.57499398e-28                    
             2280.34          1.5439e-13                       |         1.31468316e+15      2.67792046e-28                    
             2290.87          1.6018e-13                       |         1.30864021e+15      2.80406757e-28                    
             2296.15          1.4983e-13                       |         1.30563099e+15      2.63498767e-28                    
             2306.75          1.5339e-13                       |         1.29963134e+15      2.72255964e-28                    
             2317.39          1.4558e-13                       |         1.29366425e+15      2.60782994e-28                    
             2328.09          1.1733e-13                       |         1.28771851e+15      2.12123067e-28                    
             2338.84          1.3357e-13                       |         1.28179978e+15      2.43718921e-28                    
             2349.63          1.2853e-13                       |         1.27591348e+15      2.36691554e-28                    
             2360.48          1.4136e-13                       |         1.27004871e+15      2.62728074e-28                    
             2371.37          1.2812e-13                       |         1.26421629e+15      2.40322741e-28                    
             2376.84          1.3267e-13                       |         1.26130686e+15      2.50006857e-28                    
             2387.81          1.2192e-13                       |         1.25551220e+15      2.31874923e-28                    
             2398.83          1.2984e-13                       |         1.24974450e+15      2.49222212e-28                    
